Feedback,,,,,,
the course content contains all the required materials so we dont have to search other site for this course. anything we need is available in mooc,,,,,,
It was a great first class and new experience of mooc system.,,,,,,
"This week course is a bit lengthy but quite interesting. This is the first time that I am being  enrolled in such an interesting   way of teaching and learning practices. I have an experience of taking online sessions in Coursera  which was not interesting as this. Some Tasks are still needed to be completed but the way is learning is very interesting. The rewards system and level systems are very satisfying. 

What will it be if we could learn all our courses in ku mooc rather than kulms. This is  a way better than kulms.",,,,,,
"The contents covered, as well as the ellaborative contents on mooc was good. Overall, having good experience with HCI so far.",,,,,,
"This subject seems to be a very interesting one, looking forward to the sessions ahead.",,,,,,
"I get to be familiar with the concept of HCI. 
What is HCI and how does it impacts different sectors. 
How HCI helps in making system simple and easy to use.

I also get to interact with this online learning platform. It was fun to learn this way. Also the contents are organized nicely and was easy accessing and studying them.",,,,,,
"Online learning is quite more effective in this current situation. I feel quite easy learning through this and quite more interactive between us. We can navigate into different contents easily. The contents of week 1 is sufficient for us to understand. But I faced the problem while logging into mooc . It always asks for login, and said session expired everyone. It may be better if the session active until we logged out.",,,,,,
"The system is well designed and fun to use. I mainly face a problem in the inbuilt video player as I prefer double click for full screen rather than using the full screen button. Also the submitted answer button after the video ends was bit confusing and hard to know about its function at the first use. 

Similarly, at page: &#039;http://mooc.ku.edu.np/mod/lesson/view.php?id=225&amp;pageid=8&#039;, I faced a problem reading the text in the box and saw the scroll bar only after my struggle reading the contents so if it is places above or right below the box where users could easily see the scroll bar would be helpful.",,,,,,
acknowledged to know about usability metrics,,,,,,
"Sir,I like the content of the course very much.When i found that HCI was only being taught in KU I was very happy .I like the way you perfectly explained about the HCI in brief .Yours speaking skill was second to none .I am very happy to see you as my teacher.",,,,,,
Interesting to see various examples to explain the concepts well.,,,,,,
I feel easy to use the system ... All the things were managed properly and can be accessed easily,,,,,,
"Personally I think the contents of week 1 were very useful. The quiz, study materials and the different lecture videos were very useful for the students. I hope the upcoming week&#039;s contents are as exciting as week 1.",,,,,,
It was a new experience for us. I got to know many more things about HCI. I really like the idea of quiz and discussion forms. It will help us expand our knowledge.,,,,,,
"This is the first time I have been enrolled in such a site that uses an asynchronous mode of teaching-learning. I must admit that the content of week 1 was really very interesting and I completed the quizzes and tasks really easily. Mostly I liked the concept of using interesting videos to explain complex subject matter effortlessly. Now it is the fifth week and I still visit this site, not because of any pressure but because I enjoy it. Hats off to the MOOC team.",,,,,,
"In this resource , I have learnt what HCI is ,how it works and the concept of HCI ,which was very helpful for me to understand more about HCI.",,,,,,
